"Ticker","Company","Country","Exchange","Industry","Gross Profit Margin","Diluted EPS 1Y Growth","Gross Profit 3Y CAGR","Gross Profit 1Y Growth","Free Cash Flow (M)","Total Enterprise Value (TEV) (M)","Stock-Based Compensation (Cash Flow Statement) (M)","Free Cash Flow Margin","Shares Out Growth 3Y (CAGR)","EPS Normalized Actual vs Estimate (Quarterly)","Revenue Actual vs Estimate (Quarterly)","FCF Yield","Forward FCF Yield","Stock Price","TR 1M Performance","YTD Performance","Revenue Forward 2Y CAGR","CapEx to Revenue","PEG Ratio","Market Cap (M)","Buyback Yield","Revenue 3Y CAGR","Operating Margin","Net Debt / EBITDA","Beta","TR 3Y Performance (CAGR)","Diluted EPS 3Y CAGR","EPS Normalized Forward 2Y CAGR","Return on Invested Capital","TR 5Y Performance (CAGR)"
"VTEX","VTEX","KY","NYSE","IT Services","79.3%","133.9%","19.6%","15.2%","$44.60","$416.40","$15.63","17.7%","-4.2%","61.2%","-0.5%","7.5%","3.2%","$3.61","-16.5%","-0.8%","8.8%","0.0","0.2","$595.20","12.2%","13.1%","12.0%","-5.3","1.3","-15.9%","6.6%","14.7%","22.0%","-32.3%"
"MG","Mistras Group, Inc.","US","NYSE","Professional Services","31.6%","124.2%","1.5%","9.8%","$28.92","$820.92","$6.99","3.9%","1.7%","6.4%","2.0%","4.8%","3.9%","$18.56","19.5%","45.2%","4.3%","0.0","0.3","$597.50","0.3%","2.3%","7.9%","2.6","1.0","51.6%","118.1%","17.7%","9.5%","12.2%"
"TCMD","Tactile Systems Technology, Inc.","US","NasdaqGM","Health Care Equipment and Supplies","76.8%","72.9%","12.5%","20.5%","$26.82","$465.06","$8.39","7.7%","-1.2%","3.4%","0.2%","5.2%","9.8%","$22.25","-22.8%","-16.1%","9.7%","0.0","0.6","$520.55","0.8%","9.6%","10.0%","-1.3","0.9","6.4%","328.5%","33.1%","13.6%","-12.5%"
"CLMB","Climb Global Solutions, Inc.","US","NasdaqGM","Electronic Equipment, Instruments and Components","15.8%","-7.8%","24.2%","6.7%","$41.00","$470.11","$5.21","5.8%","1.4%","-24.3%","-0.4%","7.8%","10.1%","$27.99","4.8%","13.5%","10.8%","0.0","2.4","$524.62","0.4%","29.0%","4.0%","-1.5","1.1","39.3%","19.3%","16.6%","20.1%","35.1%"
"IBEX","IBEX Limited","US","NasdaqGM","Professional Services","29.9%","42.3%","13.9%","13.0%","$32.31","$560.56","$6.38","5.2%","-9.8%","10.8%","5.5%","6.3%","","$38.25","8.8%","5.9%","10.2%","0.0","0.4","$514.95","1.8%","6.3%","9.5%","0.6","0.6","25.2%","25.2%","15.4%","22.8%","16.5%"
"CINT","CI&T Inc.","BR","NYSE","IT Services","31.2%","10.5%","2.3%","11.7%","$33.05","$532.67","$4.96","6.1%","-1.3%","38.8%","2.0%","7.5%","10.8%","$3.39","0.6%","-19.9%","13.2%","0.0","-2.8","$442.84","5.2%","6.0%","11.5%","1.2","1.1","-15.2%","16.3%","10.6%","10.0%",""
"TREE","LendingTree, Inc.","US","NasdaqGS","Consumer Finance","96.4%","-414.4%","16.6%","25.6%","$73.88","$718.97","$24.64","5.8%","2.7%","-144.8%","-0.7%","18.8%","13.1%","$27.37","-12.2%","-45.6%","12.0%","0.0","0.0","$393.67","0.9%","15.5%","8.5%","2.8","2.1","14.4%","1.3%","43.5%","47.9%","-30.0%"
"FLXS","Flexsteel Industries, Inc.","US","NasdaqGS","Household Durables","24.7%","71.0%","16.9%","15.8%","$47.58","$360.68","$4.55","10.4%","-7.5%","52.0%","5.3%","14.6%","7.8%","$79.22","2.3%","99.3%","4.1%","0.0","1.8","$325.46","20.4%","5.3%","9.3%","0.8","0.6","55.1%","30.4%","10.0%","17.7%","20.7%"
"RCMT","RCM Technologies, Inc.","US","NasdaqGM","Professional Services","26.9%","30.3%","5.9%","7.3%","$22.83","$318.44","$3.66","6.8%","-3.8%","24.2%","13.3%","7.7%","","$41.92","46.1%","109.5%","10.8%","0.0","1.0","$295.81","3.2%","8.3%","7.7%","0.8","-0.0","26.3%","11.0%","12.2%","18.2%","51.8%"
"KINS","Kingstone Companies, Inc.","US","NasdaqCM","Insurance","22.3%","20.2%","97.8%","28.3%","$83.08","$271.44","$1.97","34.9%","10.4%","2.8%","-2.0%","29.2%","","$19.60","-2.2%","20.8%","31.6%","0.0","0.2","$284.46","0.2%","17.6%","18.7%","-0.3","0.4","117.5%","24.5%","27.3%","7.2%","23.1%"
"NAGE","Niagen Bioscience, Inc.","US","NasdaqCM","Personal Care Products","64.2%","-11.7%","19.9%","12.1%","$5.67","$183.93","$6.94","4.4%","1.8%","65.6%","-2.4%","2.3%","8.2%","$3.13","-11.3%","-49.9%","9.5%","0.0","-0.5","$248.19","1.9%","16.8%","6.7%","-6.7","2.3","26.1%","28.8%","38.3%","43.9%","-18.0%"
"INFU","InfuSystem Holdings, Inc.","US","NYSEAM","Health Care Providers and Services","57.5%","68.9%","10.5%","7.9%","$12.55","$265.56","$5.07","8.8%","-1.8%","195.8%","1.6%","5.2%","10.1%","$12.10","31.8%","44.8%","3.7%","0.1","0.8","$241.99","3.7%","6.6%","7.9%","1.0","1.7","5.8%","132.8%","27.1%","8.8%","-3.4%"
